movie_id,character,actor
3116,Annie - Texas,Jennifer Salt
3116,Woodsy Niles - Texas,Gilman Rankin
3116,Little Joe - Texas,T. Tom Marlow
14030,Dolly Levi,Barbra Streisand
14030,Horace Vandergelder,Walter Matthau
14030,Cornelius Hackl,Michael Crawford
14030,Louis Armstrong,Louis Armstrong
14030,Irene Molloy,Marianne McAndrew
14030,Barnaby Tucker,Danny Lockin
14030,Minnie Fay,E.J. Peaker
14030,Ermengarde,Joyce Ames
14030,Ambrose Kemper,Tommy Tune
14030,Rudolph Reisenweber,David Hurst
20391,Ben Rumson,Lee Marvin
20391,Pardner,Clint Eastwood
20391,Elizabeth,Jean Seberg
20391,Rotten Luck Willie,Harve Presnell
20391,Mad Jack Duncan,Ray Walston
20391,Horton Fenty,Tom Ligon
20391,Parson,Alan Dexter
20391,Horace Tabor,William O'Connell
20391,Atwell,Robert Easton
20391,Foster,Geoffrey Norman
26520,Carol Sanders,Natalie Wood
26520,Bob Sanders,Robert Culp
26520,Ted Henderson,Elliott Gould
26520,Alice Henderson,Dyan Cannon
26520,Horst,Horst Ebersberg
26520,Emilio,Lee Bergere
26520,Psychiatrist,Donald F. Muhich
26520,Sean Sanders,Noble Lee Holderread Jr.
26520,Phyllis,K.T. Stevens
26520,Susan,Celeste Yarnall
70478,Stewardess Samantha,Christina Hart
70478,Colin Winthrop,Ronald South
70478,Captain Brad Masters,William Condos
70478,Jo Peters,Anita de Moulin
70478,Tina,Paula Erikson
70478,Cathy,Kathy Ferrick
70478,Wendy,Janet Wass
70478,Horney Annie,Donna Stanley
70478,Cappy,Jerry Litvinoff
70478,Karin,Patricia Fein
42618,Charity,Shirley MacLaine
42618,Oscar,John McMartin
42618,Vittorio,Ricardo Montalban
42618,Big Daddy,"Sammy Davis, Jr."
42618,Nickie,Chita Rivera
42618,Helene,Paula Kelly
42618,Herman,Stubby Kaye
42618,Ursula,Barbara Bouchet
42618,"""Rich Man's Frug"" lead dancer",Suzanne Charney
42618,Nicholsby,Alan Hewitt
17529,Marshall Reuben J. 'Rooster' Cogburn,John Wayne
17529,Mattie Ross,Kim Darby
17529,Emmett Quincy,Jeremy Slate
17529,Moon,Dennis Hopper
17529,Ned Pepper,Robert Duvall
17529,La Boeuf,Glen Campbell
17529,Goudy,Alfred Ryder
17529,Colonel G. Stonehill,Strother Martin
17529,Tom Chaney,Jeff Corey
17529,Captain Boots Finch,Ron Soble
2370,André Devereaux,Frederick Stafford
2370,Nicole Devereaux,Dany Robin
2370,Michèle Picard,Claude Jade
2370,François Picard,Michel Subor
2370,Juanita de Cordoba,Karin Dor
