,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,character0,character1,character2
198,False,/odgP08VaY9zcJMnEc6J053SeMrO.jpg,"[35, 10402, 10749]",4704,en,At Long Last Love,"Four socialites unexpectedly clash: heiress Brooke Carter runs into gambler Johnny Spanish at the race track while playboy Michael O. Pritchard nearly runs into stage star Kitty O'Kelly with his car. Backstage at Kitty's show, it turns out she and Brooke are old friends who attended public school together. The foursome do the town, accompanied by Brooke's companion Elizabeth, who throws herself at Michael's butler and chauffeur Rodney James.",1.07085,/dNxs6gcZZyxEbtHmY9LklLGznQm.jpg,1975-03-01,At Long Last Love,False,6.5,5,Brooke Carter,Michael Oliver Pritchard III,Johnny Spanish
199,False,/17luNsGBE3CEhLOAFeYty4KaGQr.jpg,"[35, 10751, 18]",220002,en,Bizim Aile,Story of Yasar Usta and his family.,1.000052,/oqx1RlvMB9FGzfpuDSvxZtQFfSJ.jpg,1975-09-07,Bizim Aile,False,7.0,1,Ya?ar,Melek,Ferit
200,False,/1TvD8lfdcd6SVB55ddlJDZOLNRd.jpg,"[18, 10402, 10749]",19610,en,A Star Is Born,"A Star Is Born is a 1976 rock music film telling the story of a young woman, played by Barbra Streisand who enters show business, and meets and falls in love with an established male star, played by Kris Kristofferson, only to find her career ascending while his goes into decline.",1.522302,/A00tHQNp4p2onfKo9m5lJnqfqwk.jpg,1976-12-16,A Star Is Born,False,5.71,14,Esther Hoffman,John Norman Howard,Bobbie Ritchie
201,False,,[99],195012,en,To Fly!,Early IMAX documentary about the development of human flight.,1.000444,/tuuKSaUTg8MBwxPWI3vM8LlKOAC.jpg,1976-07-01,To Fly!,False,5.25,2,,,
202,False,/2kkyt0FLROrXt41IgSdE7goCFNQ.jpg,[18],1366,en,Rocky,"When world heavyweight boxing champ Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers pick palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark.",4.637169,/lmwGr6J5y6kngFNQuFV2y1yw4OB.jpg,1976-11-21,Rocky,False,7.19,879,Rocky Balboa,"Adrianna ""Adrian"" Pennino",Paulie
203,False,,"[35, 14]",398587,en,Alice in Wonderland: An X-Rated Musical Comedy,"Alice is a virginal librarian, cheerful and outgoing, who acts and dresses younger than her age. She rebuffs William, a suitor, because he's insistent on behavior she considers inappropriate: she's a prude. While daydreaming about reliving her life, a white rabbit taps her on the shoulder, and she follows him to Wonderland, where playful animals and people introduce her to her imagination and to pleasure. After encounters with the imperious Queen of Hearts, Alice decides that Wonderland may not be for her, and she longs for William.",1.000001,/fFUdoSbC36eMxc7iZs3cnhXreEY.jpg,1976-12-10,Alice in Wonderland: An X-Rated Musical Comedy,False,0.0,1,,Alice,
204,False,/7nwfodS5en7Pysxc0ayrhLMUOAc.jpg,"[18, 36, 9648, 53]",891,en,All the President's Men,"In the run-up to the 1972 elections, Washington Post reporter Bob Woodward covers what seems to be a minor break-in at the Democratic Party National headquarters. He is surprised to find top lawyers already on the defense case, and the discovery of names and addresses of Republican fund organizers on the accused further arouses his suspicions. The editor of the Post is prepared to run with the story and assigns Woodward and Carl Bernstein to it. They find the trail leading higher and higher in the Republican Party, and eventually into the White House itself.",2.712943,/jh4aA8tryNy1QDiQzkE1kzPqkwc.jpg,1976-04-04,All the President's Men,False,7.26,204,Bob Woodward,Carl Bernstein,Harry M. Rosenfeld
205,False,/zme4RH7DVdRSGrTk7bNvcGGywAW.jpg,"[27, 53]",794,en,The Omen,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil. A classic horror film with Gregory Peck from 1976.",2.33939,/uY14zS4Sm2DdvFXeczFKgLgkQUP.jpg,1976-06-06,The Omen,False,6.94,182,Robert Thorn,Katherine Thorn,Keith Jennings
206,False,/ydiIbLKBH1bpDd9HJRKSa1RIkIF.jpg,"[28, 12, 18, 27, 878]",10730,en,King Kong,"In this remake of the 1933 classic about the giant ape, an oil company expedition disturbs the peace of Kong and brings him back to New York to exploit him. Even though a woman somewhat tames Kong, he finally breaks loose and terrorizes the city, and as the military attempt to stop him, he falls to his death from the top of the World Trade Center.",2.395199,/lyMgOphIY5iMASdzew7Fju1dSNC.jpg,1976-09-08,King Kong,False,5.92,67,Jack Prescott,Dwan,Fred Wilson
207,False,/fpOVmEvq3ADu0RKpQLjXZOGGHqa.jpg,"[35, 80, 10749, 53]",11558,en,Silver Streak,"A somewhat daffy book editor on a rail trip from Los Angeles to Chicago thinks that he sees a murdered man thrown from the train. When he can find no one who will believe him, he starts doing some investigating of his own. But all that accomplishes is to get the killer after him.",1.7403,/sFGTQkoUSytqsvZm7hUrxkmVhEy.jpg,1976-12-03,Silver Streak,False,7.0,27,George Caldwell,Hildegard 'Hilly' Burns,Grover Muldoon
